"","V1"
"CHDH",1.4916
"IL20RA",0.8455
"CLCA1",0
"CLCA4",0.0151
"GLT8D1",22.2925
"ATP2C1",12.8644
"IGF1",0.075
"SLC38A5",3.5876
"RALBP1",6.0397
"RUFY3",2.0245
"CNTN1",1.8335
"SLC11A1",0.9319
"WWTR1",6.3262
"AGPS",7.6839
"CXorf56",8.9602
"ATP1A2",0.1822
"TTC27",7.7269
"ZNF582",1.3236
"VSIG2",0.3004
"PHLDB1",3.183
"MARCO",0.3345
"CYP24A1",0.0262
"PRDM11",0.5339
"SYT13",5.6364
"SNAI2",11.0604
"CD74",347.6323
"HGF",0.1961
"ZRANB1",1.912
"NCDN",13.8306
"ADGRA2",4.7619
"ZFP64",3.9693
"MNAT1",4.9334
"SAMD4A",0.939
"RUNX3",2.2398
"MRE11",4.006
"PLEKHB1",2.975
"SERPINB1",24.7383
"CYP3A43",0.033
"SLC7A9",0.348
"SPAST",2.0449
"NRXN3",0.5295
"OSBPL5",7.241
"AQR",5.0542
"CPS1",0.2399
"C8B",0.0255
"FHL1",4.6214
"RTF2",25.1942
"GABRA1",0
"NLRP2",18.3329
"SLC45A4",2.2664
"RNF10",44.7848
"ZNF839",0.7434
"ZDHHC6",12.8555
"GRAMD1B",0.3363
"RNH1",29.7867
"NDUFS1",6.5102
"RB1CC1",9.2662
"ERP44",27.1238
"ALAS1",23.2711
"BIRC3",1.0639
"AKAP11",2.485
"GLRX2",10.7465
"SNAPC1",2.8768
"DERA",6.7686
"STRAP",41.9043
"ABCC2",0.8498
"DEF6",5.596
"PLEKHO1",12.1657
"GCLM",4.9223
"UBR2",8.2904
"EHD2",25.4851
"DEPDC1",1.4873
"CCDC28A",11.1831
"RRAGD",3.6141
"HSF2",6.8727
"PHF20",9.2009
"HSD17B6",2.4796
"NR1H3",3.2023
"TYMP",47.5083
"NCAPH2",9.9517
"TOMM34",47.8549
"SEC63",19.6915
"KPNA6",10.4697
"VIM",159.7621
"RTEL1-TNFRSF6B",0.0555
"FAS",3.8
"RNASET2",3.2174
"CD44",29.3747
"KCNG1",0.684
"AGPAT4",0.8955
"SLAMF7",2.1443
"BTN3A1",8.5073
"MIPEP",14.7348
"PRKCH",1.534
"INSRR",0.0803
"IFNGR1",24.3838
"B4GALT7",7.3894
"SH2D2A",1.3156
"VRK2",3.8755
"TNFRSF1B",4.4322
