"","V1"
"NLRP3",0.2597
"ZNF496",4.0486
"TRIM58",3.8274
"SLAMF9",0.3969
"OR2M5",0
"KCNJ9",0.0248
"IGSF8",83.8818
"DDR2",2.538
"PEA15",148.1801
"PEX19",26.7324
"NCSTN",101.9045
"VANGL2",2.6956
"SLAMF6",0.8422
"OLFML2B",31.095
"FCRLB",0.436
"FCGR3B",0.1497
"SLC9C2",0.0034
"KLHDC9",14.3857
"C1orf74",1.6965
"LMX1A",0.0831
"LRRC52",0.1014
"FLVCR1",6.5903
"FAM71A",0
"ATF3",6.2322
"RBM15",3.3399
"DENND2D",8.7735
"AXDND1",0.1456
"TDRD5",5.6969
"IER5",16.9991
"SNED1",0.9429
"BPNT1",21.2367
"SPATA17",1.8042
"C1orf115",18.5009
"BROX",18.4461
"NBPF20",0.3067
"ACP6",1.6615
"WDR64",0.0493
"KIF26B",2.6099
"TFB2M",23.4409
"CNST",5.9524
"PPP1R21",6.389
"KLHDC8A",0.1375
"PM20D1",0.0866
"PKDCC",1.6442
"OXER1",0.4003
"HAAO",1.3204
"B3GALNT2",4.4236
"MAPKAPK2",109.8306
"IL20",6.8354
"IL24",3.9187
"FCMR",17.724
"PIGR",0.2824
"FCAMR",0.0933
"CAPN2",26.5025
"MRPL55",48.4859
"WDR26",26.1088
"REL",0.2878
"PUS10",1.3591
"PEX13",7.7555
"KIAA1841",0.953
"TRIM17",1.5318
"RFTN2",0.7165
"DISC1",0.2703
"CAPN13",20.4933
"LRRTM1",0
"MEMO1",0.2398
"DPY30",26.7746
"TYW5",0.9809
"MAIP1",20.9001
"KCNF1",7.0706
"SLC66A3",14.494
"ARL5A",2.0878
"LRATD1",2.114
"KCNJ3",0.0106
"NEUROD1",0
"CLHC1",0.3194
"FRZB",4.2663
"DUSP19",0.834
"CFAP36",16.906
"NUP35",5.5469
"CCDC138",1.917
"ZSWIM2",0
"FBXO41",1.7026
"ACTG2",13.1677
"WDCP",3.6663
"SMC6",3.7718
"VSNL1",1.3534
"CCDC74A",9.1716
"H3-3A",28.7409
"ANKRD30BL",0.0176
"COQ8A",0.0514
"SLC16A14",1.8368
"TEKT4",0.2434
"EN1",7.7747
"SGCB",8.0397
"SPATA18",1.7825
"NOSTRIN",7.0176
"CFAP221",0.4827
"SGPP2",6.63
"INHBB",13.2825
"XIRP2",0
"BBS5",2.4198
"SMARCAD1",2.6634
"HPGDS",1.2108
"PDLIM5",6.9506
"PDHA2",0.0127
"STPG2",0.0343
"NEURL3",0.4741
"RPRD2",16.6499
"ANKRD23",0.4153
"CTSS",10.9642
"MSX1",3.0661
"PACRGL",0.7731
"BNIPL",5.9574
"C1QTNF7",0.3452
"TNFAIP8L2",3.0182
"LYSMD1",7.9245
"SCNM1",24.6386
"TMOD4",0.3491
"VPS72",61.8354
"ERCC3",5.8023
"RNF149",18.2272
"IWS1",16.3648
"BOLA3",3.9282
"CDC42EP3",5.2161
"S100A11",3428.2005
"LCE3D",0
"SMCP",0
"IVL",0.8646
"SPRR3",0.1327
"DHX57",4.2333
"SPRR2D",0
"BMP10",0
"PGLYRP4",0.1759
"ARHGAP25",2.0322
"S100A9",278.9085
"S100A12",0.4661
"TGFA",0.2369
"TDRD10",0.1671
"CCNYL1",3.9564
"FZD5",0.8967
"CRYGC",0
"DCAF16",2.5454
"C1orf189",4.3341
"NPPC",0.3235
"GNPDA2",1.347
"ALPP",0
"GABRG1",0.0026
"ALPG",0
"GABRB1",0
"PAQR3",0.3687
"NIPAL1",0.2441
"ALPI",0
"ANTXR2",3.6618
"HELQ",1.3772
"MRPS18C",1.0006
"CGGBP1",12.2771
"ABRAXAS1",0.3839
"GPR155",1.4817
"DAPL1",0.5249
"PMVK",98.9667
"PBXIP1",66.252
"CLDN1",8.1525
"PYGO2",50.0479
"HIPK1",6.6964
"LENEP",0
"DCST2",0.5209
"DCST1",0.0871
"COL6A3",59.7763
"INAVA",5.362
"YY1AP1",12.43
"KBTBD8",0.2129
"TAFA4",0.0053
"EOGT",2.9267
"LMOD3",0.1437
"NAXE",166.7392
"POGLUT1",3.3513
"SLC22A15",0.6623
"CCKAR",0.1693
"IGFN1",0.0029
"ATP1A1",19.111
"SLC15A2",0.7148
"EIF4E3",3.1259
"PROK2",0.0108
"TEX55",0
"LRRC58",7.6202
"FSTL1",51.5422
"LMOD1",6.2022
"ELF3",5.742
"PDCL2",0
"TMEM183A",18.3657
"TMEM169",0.278
"IGFBP7",204.8199
"TRIM46",1.1623
"KRTCAP2",0.8434
"CXCR1",0.0707
"ARPC2",30.2445
"TSACC",3.696
"CCT3",224.5746
"TMEM79",14.601
"SSR2",112.1501
"RNF25",10.5657
"STK36",3.0277
"ADORA1",2.4354
"NEK10",0.9237
"CCDC141",0.0068
"FEV",0
"CRYBA2",0.0359
"IHH",0.0211
"CIP2A",1.7714
"EOMES",0.1332
"CWC22",14.8865
"AZI2",2.2622
"TGFBR2",9.5267
"RETNLB",0
"ANKZF1",2.5443
"HDAC11",8.2138
"FCRL4",0.0269
"TRAT1",0.092
"FBLN2",46.7943
"GLB1L",5.1468
"STT3B",45.7872
"CHCHD4",11.7262
"DPPA2",0
"NFASC",0.4218
"FCRL1",0
"SGO2",3.6857
"SERPINI1",186.5305
"CLASP2",1.7784
"SUCLG1",25.7438
"NUAK2",2.6562
"SPTA1",0.0103
"PRKCI",11.1949
"MNDA",3.7953
"PYHIN1",0.2146
"IFI16",67.7626
"AIM2",5.1682
"EFHB",0.2297
"EIF5A2",1.3117
"SLC2A2",0
"RPL22L1",34.4626
"FABP1",0
"PPM1L",0.8595
"ICA1L",0.4233
"CTLA4",0.4956
"ICOS",0.5025
"RYBP",9.6405
"PPP4R2",11.8719
"CD200R1",0.0626
"GTPBP8",1.4528
"NEPRO",7.6144
"SPICE1",0.1139
"CCDC191",1.4512
"CADPS",0.0652
"NKX6-1",0.3043
"CDS1",6.4726
"WDFY3",1.6509
"COX18",1.7099
"PTPN13",4.4789
"SYNPR",0.0086
"ALB",0.3193
"C3orf49",0.1163
"C4orf36",0.0166
"THOC7",59.3126
"ATXN7",1.7889
"PSMD6",13.212
"PRICKLE2",1.7143
"ADAMTS9",1.0452
"PPM1K",4.7312
"ERICH6",0.0754
"CLRN1",0
"GMPS",15.3905
"TIPARP",8.6579
"CCNL1",4.9262
"PTX3",0.0831
"HESX1",1.0715
"DCLK3",0.1029
"SLMAP",3.9389
"RPL9",116.4387
"SMIM14",22.306
"RPP14",1.0608
"ABHD6",2.4889
"DNASE1L3",0.0349
"CFAP20DC",0.3494
"RBM47",8.167
"APBB2",5.1053
"IL17RE",4.4615
"IL17RC",15.4272
"CRELD1",0.701
"PRRT3",6.4837
"FANCD2OS",0.0362
"PCOLCE2",0.064
"U2SURP",7.9253
"MTMR14",10.3249
"TTC14",2.6192
"CXCL3",0.0078
"CXCL5",0.0143
"PPBP",0
"PF4",0
"MTHFD2L",0.4339
"CXCL1",0.0128
"RCHY1",1.5203
"PLSCR2",0.0578
"CCDC158",0.1454
"CPA3",7.0702
"GYG1",10.2312
"HPS3",3.213
"TM4SF18",4.6972
"TOPBP1",5.2636
"RYK",7.3519
"SNRK",5.126
"TCF23",0.0034
"DNAJC5G",0
"UCN",3.9151
"ZNF513",7.5202
"SLC4A1AP",6.0309
"PLB1",0.283
"SPDYA",0.0449
"KIAA1143",5.7305
"KIF15",1.9327
"TGM4",0.0064
"WDR43",10.1795
"ZDHHC3",4.7073
"CDCP1",10.8609
"CLEC3B",2.6126
"SLC6A20",0.0392
"LZTFL1",4.9234
"FYCO1",8.783
"CCR1",5.6515
"RTP3",0
"LRRC2",0.0093
"ELP6",11.6081
"FBXO40",0
"DTX3L",27.8639
"ZNF148",3.517
"NMNAT3",0.0589
"SMIM12",3.5981
"ZMYM6",1.4321
"TPRA1",11.093
"YEATS2",6.5749
"GRIK3",4.9893
"ZC3H12A",2.2614
"MEAF6",18.6677
"SNIP1",3.6856
"DNALI1",0.8546
"POLR2H",60.4109
"KLF15",0.0803
"CFAP100",0.0206
"CAMK2N2",1.5568
"LIPH",5.1481
"TMEM41A",9.5527
"RPN1",123.2345
"SENP2",8.6671
"HEYL",4.5294
"IFT122",9.5855
"RHO",0.0565
"RFC4",25.7138
"RPL39L",72.1617
"BAP1",15.8992
"TKT",54.8142
"PRKCD",33.4406
"RFT1",3.9099
"SFMBT1",2.3996
"GNL3",36.484
"PBRM1",4.9513
"UVSSA",0.5056
"TASOR",8.5932
"ARHGEF3",10.4102
"SLBP",23.5257
"LRPAP1",6.2277
"ZDHHC19",0.0358
"SLC51A",3.2246
"UBXN7",9.8977
"RNF168",7.2876
"PIGX",17.8692
"MELTF",1.6821
"OTOP1",0
"S100P",60.2494
"ABLIM2",0.3948
"EXO5",1.4115
"CLDN19",0.0145
"C1orf50",0.2336
"ERMAP",1.979
"ZNF691",8.156
"AIMP1",4.947
"SGMS2",0.9838
"METAP1",7.0551
"DNAJB14",1.1127
"H2AZ1",56.1707
"EMCN",2.7871
"SLC9B1",0.1411
"SLC9B2",0.6724
"BDH2",2.008
"PGRMC2",14.6706
"CDC25A",2.1898
"CAMP",0.9336
"ZNF589",2.3747
"FBXW12",0.0897
"PLXNB1",12.8898
"CCDC51",10.0721
"ATRIP",5.2379
"SHISA5",101.6149
"SPRY1",4.7737
"BSN",0.1253
"APEH",34.8156
"INTU",0.5626
"RNF123",2.7164
"HSPA4L",0.1474
"MFSD8",0.7762
"ABHD18",0.6455
"CAMKV",0.0048
"MON1A",2.5869
"MST1R",2.8936
"RAD54L2",2.0445
"TEX264",12.8118
"GRM2",0.0906
"DUSP7",4.1684
"POC1A",7.853
"PPM1M",6.7248
"ETNPPL",0
"WDR82",30.9332
"PITX2",0.4387
"C4orf3",39.8988
"PRSS12",0.0881
"NDST3",0.0152
"HMGB2",32.0606
"SAP30",9.5642
"SCRG1",0.0784
"HAND2",0.3718
"MAD2L1",1.8721
"ANXA5",121.622
"TMEM155",0.0402
"ADAD1",0
"MAP9",1.3585
"GUCY1A1",2.7277
"FBXO8",7.9201
"CEP44",0.9481
"HPGD",0.1729
"ASB5",0
"C4orf45",0.0117
"TMEM144",1.3218
"GASK1B",12.0459
"NPY1R",4.9456
"NPY5R",0.0104
"NAA15",4.1707
"IL15",0.3819
"FAM160A1",0.8545
"ARFIP1",5.6779
"ICE1",4.2324
"HHIP",0.0131
"ANAPC10",0.6306
"ABCE1",6.9314
"OTUD4",2.6339
"LSM6",2.3228
"TMEM184C",4.9406
"PRMT9",1.8963
"ITGA2",3.7877
"MOCS2",9.2714
"SLC45A2",0.1187
"EDIL3",6.6956
"TMEM161B",0.712
"ELOVL7",1.4578
"NDUFAF2",2.6289
"ZNF474",0.5593
"LMBRD2",1.3449
"RANBP3L",1.8798
"NIPBL",6.078
"RNF180",1.1549
"ADGRV1",0.6539
"SLC25A46",4.306
"STARD4",1.0034
"PGGT1B",2.6111
"F2RL2",9.4237
"CCDC112",5.5218
"ANKRD33B",0.1645
"CMBL",21.0674
"C5orf63",0.7231
"PRRC1",12.4716
"F2RL1",5.8099
"AGGF1",4.8999
"WDR41",7.6726
"PRDM9",0
"NDUFS4",41.308
"SCGB3A2",0.2103
"SPINK1",0.3833
"HTR4",0
"ESM1",10.1086
"GRPEL2",5.2294
"CDC20B",3.0608
"ARSK",1.2865
"RHOBTB3",3.2759
"GPX8",29.5921
"TIGD6",4.5756
"SPZ1",0
"SERINC5",6.0227
"ENPP6",0.1093
"CAGE1",0.0099
"CASP3",12.8297
"PRIMPOL",1.5462
"ERAP1",8.4019
"ERAP2",12.394
"CMYA5",0.9452
"EGFLAM",2.7251
"CFAP97",3.658
"TMEM174",0.0099
"CARTPT",0.063
"RICTOR",1.0209
"TENT2",6.3643
"EBF1",1.6611
"ANKRA2",5.794
"UBLCP1",14.3172
"FAM170A",0.0252
"UTP15",3.1537
"TLR3",3.4854
"KLKB1",0.2863
"NSA2",29.8704
"GFM2",5.4166
"TERT",0
"SLC6A18",0
"CCDC127",3.6771
"FOXQ1",1.1762
"ADGRF2",0.0136
"ACSL6",0.0286
"IL3",0.0188
"CSF2",0
"SEPTIN8",11.4109
"SHROOM1",6.1468
"GDF9",0.3871
"UQCRQ",63.2888
"LEAP2",0.7047
"GJB7",0
"SLC35A1",10.1852
"GRIK2",0.0636
"CGAS",1.6413
"FABP7",0
"TLX3",0
"TXLNB",3.0201
"CITED2",30.8618
"CALHM4",0
"TBXT",0
"CREBRF",1.4014
"DCBLD1",3.3838
"SFXN1",5.5261
"SAMD3",0.0706
"TMEM200A",1.2051
"IL22RA2",0.3301
"DACT2",0.041
"PDSS2",3.2861
"SPATA48",0
"STXBP5",2.3573
"H2AC1",0
"IL31RA",0
"ANKRD55",0.0472
"RAET1E",1.6092
"PI16",0.2188
"TBX20",0.5327
"DAGLB",4.7281
"KIAA0895",1.2305
"STK17A",5.9756
"TRA2A",20.8796
"GALNT10",20.8323
"SAP30L",5.2859
"RPS14",226.7886
"HCN1",0.0025
"MYOZ3",0.2284
"COG5",3.7274
"NEUROD6",0
"BMT2",2.1178
"GPR85",0.1969
"SLU7",12.3092
"RP9",5.982
"PTTG1",19.8269
"CAMLG",7.7513
"BMPER",0.0696
"RELL2",0.2693
"KCNK5",10.6544
"KIF6",0.0923
"ZNF12",6.2122
"SLC29A4",1.927
"TEX47",0
"STEAP1",3.7051
"CDCA7L",4.5234
"SP8",0
"MIOS",5.1175
"ELAPOR2",0.306
"USP49",0.5254
"SYTL3",4.0348
"IQUB",0.2337
"HEY1",1.1567
"ZNF704",3.5754
"FABP5",17.2603
"SHH",0.0133
"TAGAP",0.8037
"COL1A2",754.3893
"FNDC1",12.8089
"CHMP4C",18.4773
"SLC13A4",0.0434
"PGAM2",0
"BRI3",14.6339
"LMTK2",2.1548
"SLC35G3",0
"CTSB",86.6587
"SOX17",0.9042
"DLC1",2.0685
"ADCY1",0.3013
"C8orf48",0.6367
"SUN3",0
"C7orf57",0.4509
"HNF4G",0.1341
"PEX2",10.8514
"RAD21",57.0906
"SLC30A8",3.3896
"MED30",8.7303
"TNFRSF11B",3.6618
"SBSPON",52.9242
"PHKG1",0.554
"EN2",0.0307
"KCNV1",0.0025
"CSMD3",0.0017
"SPIDR",6.4836
"ORC5",9.712
"DEFA5",0
"DNAAF5",7.704
"DEFA4",0
"DEFA6",0
"OSGIN2",7.2504
"DEFB1",2.4575
"SUN1",6.6192
"OXR1",2.3998
"TMEM74",0.0352
"GPR146",0.0436
"GPER1",0.6737
"UNCX",0
"TMEM184A",1.9462
"NOS3",1.287
"SPAG11B",0
"MICALL2",2.6109
"CA3",0.2213
"INTS1",9.4674
"CDK5",9.948
"SLC4A2",7.286
"SLC7A13",0.4435
"FASTK",20.8658
"TMUB1",30.2942
"FMC1",0.2488
"GBX1",0
"PHAX",11.9419
"ALDH7A1",5.4783
"FOXK1",2.757
"COX6C",236.1956
"OSR2",3.2403
"YWHAZ",172.7274
"BAALC",0.1306
"FZD6",7.3445
"CTHRC1",92.2818
"SLC25A32",0.019
"DCAF13",8.5892
"DCSTAMP",0.2191
"TP53INP1",19.4219
"INTS8",10.3851
"VIRMA",8.5319
"FREM1",0.248
"GEM",7.5252
"PDP1",5.2872
"TMEM67",0.8501
"WASHC5",11.496
"RPP25L",39.3144
"FAM219A",8.4458
"C9orf24",0.2822
"SNAPC3",4.9766
"MYORG",15.012
"NUDT2",25.7824
"TMEM65",3.0043
"PSIP1",8.1604
"CCDC171",0.288
"UBAP1",26.7973
"DIRAS2",0.1487
"SYK",5.6069
"NIPSNAP3B",0.5837
"ABCA1",2.8635
"NFIL3",32.3479
"LETM2",0.2332
"METTL2B",3.4962
"PRKACG",0
"FXN",1.0273
"ZMAT4",0.6124
"NKX6-3",0.0543
"TMEM71",0.1251
"MAMDC2",0.5959
"PRSS37",0.0078
"CPA6",1.9876
"C8orf34",0.0423
"TMC1",0.0858
"ALDH1A1",4.8001
"KDM1B",3.8186
"HGSNAT",8.7252
"RASEF",3.5645
"GKAP1",2.0445
"KIF27",0.6426
"C9orf64",4.4638
"HNRNPK",161.8857
"SSMEM1",0
"SVEP1",1.241
"TRPV6",2.723
"LLCFC1",0.0374
"ANKS6",0.5926
"FBP1",27.7813
"PGAP4",0.3948
"ZHX1",6.5958
"CFAP47",0.0775
"CYBB",2.2893
"DYNLT3",14.1223
"METTL27",5.3604
"MID1IP1",7.7037
"SHOC1",0.0748
"CXorf58",0.1319
"KIAA1958",0.9476
"PTCHD1",0.3185
"RNF183",0.8441
"ASB11",0
"PCDH19",0.1943
"PIGA",1.1631
"VEGFD",0.4297
"OR1Q1",0
"OR1K1",0
"STRBP",6.7082
"CLDN3",80.7717
"GAPVD1",3.8439
"CARD19",15.7577
"WNK2",1.6482
"ATP7A",1.6067
"ZNF367",1.9383
"NLGN4Y",0.002
"HDX",0.8457
"NDUFB6",39.3555
"AQP7",0.0298
"NOL6",11.0496
"AQP3",3.0703
"TRMT10B",3.0699
"VCP",72.0484
"PIGO",5.7423
"STOML2",63.9588
"BRWD3",0.9186
"SLITRK5",0.0222
"MELK",8.3815
"ARMC3",1.1229
"OTUD1",4.0906
"ARHGAP12",4.6513
"FAT3",0.0397
"DEUP1",0.218
"HECTD2",0.7843
"SLC7A3",0.0077
"FBXO33",3.0688
"INTS6L",0.705
"GPR101",0.0065
"CLDN2",0.1122
"LRFN5",0.0142
"LRRC18",0.0645
"SPTSSA",36.8274
"WRN",0.8206
"MARCHF8",4.7612
"TSHR",0.0579
"CFL2",2.952
"SUGT1",4.5457
"GTF2A1",6.8982
"ZCCHC24",4.0853
"PGM2L1",4.0491
"PHYHIPL",0.0775
"SLC16A9",0.4633
"FOLR2",0.7613
"INPPL1",10.5112
"PHOX2A",0.0097
"MBL2",0
"GJB2",32.9419
"CRYL1",6.5623
"REEP3",11.4332
"HEPACAM",0.0091
"SKA3",5.8115
"MICU2",16.151
"DDIAS",1.1725
"PCF11",3.9665
"PKNOX2",0.2952
"RPL10L",0.1126
"LRR1",6.834
"RPL36AL",398.4873
"DNAAF2",6.4249
"DEPP1",8.3876
"MAGEC3",0
"ZNF22",15.7345
"KLHDC2",3.2883
"EML5",0
"NEMF",2.7205
"RPUSD4",3.7196
"ARF6",46.9234
"TTC8",5.7803
"TMEM63C",5.2905
"NGB",1.2737
"NOXRED1",0.4535
"CDX2",0
"AMER2",0
"AKR1E2",0.6619
"KBTBD6",3.8238
"SSX5",0
"SSX3",0
"OTX2",0
"FAAH2",10.5414
"DRGX",0.006
"NUDT5",12.1059
"DACT1",4.954
"OXGR1",0.5951
"UCMA",0
"BEND7",0.8505
"ATP5F1C",157.3297
"PRPF18",2.0557
"TAF3",2.5681
"VSTM4",1.9508
"VDAC2",35.1392
"SOHLH1",0
"COMTD1",6.6709
"SLC18A2",0.0169
"PDZD8",3.1551
"ZNF503",3.163
"ABRAXAS2",7.3201
"QSOX2",3.1446
"FAM204A",2.9167
"NSD1",5.6817
"PRDX3",37.1486
"ENOX2",4.1896
"GHITM",95.7882
"CLEC1B",0.0805
"SNAPC4",5.0596
"TMEM52B",0.3788
"PMPCA",8.2366
"ENTR1",12.9552
"FRMD7",0.0575
"AK8",2.4067
"SPACA9",5.1062
"TSC1",1.4306
"GFI1B",0.0427
"HPRT1",31.0333
"BORCS5",2.2688
"DIPK1B",1.0708
"ZMYND19",13.201
"STOX1",1.1862
"RET",18.5113
"DDX21",13.5035
"BMS1",6.5281
"STK32C",4.9967
"JCAD",4.4714
"OR4K2",0
"FUNDC2",7.3453
"PIP4P1",7.2113
"METTL17",3.4277
"SLC39A2",0.276
"NDRG2",3.6319
"RNASE7",0.074
"ARHGEF40",3.7603
"NSMF",10.7053
"ZNF219",3.7892
"C12orf50",0.0248
"CASP7",13.5033
"PPP1R36",0.6444
"BTNL9",0.2969
"CCDC186",1.8194
"VWA2",2.7808
"METTL3",5.4648
"SALL2",2.6649
"PRAP1",0
"TRUB1",4.9812
"ERICH6B",0.0295
"CYP2C19",0.0111
"ZFYVE1",5.7938
"C10orf82",3.231
"HSPA12A",1.7007
"FRAT1",1.0518
"UBTD1",16.8497
"ANKRD2",0.0719
"E2F7",0.3842
"ARHGAP42",1.3163
"ISCA2",6.7138
"OTOGL",0.0255
"LARGE2",6.931
"PACSIN3",9.6818
"TTC7B",0.4145
"SLC39A13",13.5414
"PSMC3",73.7545
"RAPSN",0.0927
"AGBL2",0.3932
"TC2N",17.1253
"CPSF2",4.9115
"SMCO2",0.6593
"MOAP1",17.9176
"IFI27L1",11.3363
"IFI27",782.2995
"SERPINA12",0.1591
"CLMN",0.9988
"PDZRN4",0.853
"SLC6A5",0
"CCDC38",0.0246
"NELL1",0.0229
"PTER",5.1213
"C1QL3",0.4025
"CACNB2",0.1433
"HACD1",0.7625
"ARL5B",3.8851
"SMCO4",14.401
"CEP295",0.8223
"KCNC2",0.0054
"TAF1D",4.9023
"ABTB2",1.2929
"R3HCC1L",5.3026
"AMOTL1",1.2967
"HTRA1",180.3191
"LIPC",0.0731
"CEP57",3.2029
"TCP11L2",0.3732
"PASD1",0
"SPRED1",4.1709
"TMCO5A",0.0556
"GPR176",2.0056
"JAM3",1.5733
"IL25",0
"CMTM5",0
"GLB1L3",0.0019
"ADAMTS15",7.6412
"SVOP",0.0245
"SPATA19",0
"GPT2",3.2552
"AMN",0.0122
"RAB8B",3.6289
"IKBIP",3.8302
"RPUSD2",5.1068
"HIF1AN",5.4452
"NDUFB8",2.2964
"ZFYVE19",6.189
"PPP1R14D",1.3237
"SPINT1",89.6605
"FBN1",19.2391
"AVPR1A",1.3694
"C16orf78",0.016
"DEPDC4",0.1171
"LRTM2",0.2073
"OPN1MW2",0
"BRD7",11.8681
"CKB",36.9289
"TRMT61A",9.0914
"BTRC",5.6006
"POLL",4.2251
"BAG5",11.9715
"DPCD",27.3522
"LARP6",2.7748
"API5",21.1791
"ASPG",0.0114
"ZNF319",2.4166
"HPS6",12.7888
"SENP8",0.89
"NOLC1",47.4692
"ALKBH3",12.2521
"COPS2",16.2816
"GABRB3",0.0175
"SPIC",0
"TBATA",0.0203
"SGPL1",28.0943
"FRS2",8.3269
"CCT2",92.6834
"PCBD1",154.524
"ARIH1",4.6894
"C16orf71",0.4855
"CLMP",6.956
"SCN3B",0.0626
"COX11",3.8825
"ZNF202",3.6278
"FAM227B",0.6617
"STXBP4",1.0391
"CYYR1",3.5031
"CUL5",3.5826
"MYRFL",0.8788
"WBP1L",13.9918
"BORCS7",6.501
"C2",3.656
"PLEKHF1",6.0079
"TMEM100",0.1017
"ANAPC16",24.2284
"SMPD1",19.6085
"APBB1",2.4106
"SYNPO2L",0.6268
"NUDT13",0.3518
"C11orf65",0.549
"TRIM44",6.5642
"CCDC182",0.0432
"ILK",0.0499
"TAF10",0.3227
"TPP1",30.9762
"DCHS1",1.193
"NETO1",0.1289
"MSS51",0.4162
"CYB5A",26.7996
"USP54",2.2243
"RAG1",0.1597
"POTED",0
"IFTAP",1.9354
"WDR88",0.2168
"OR10A5",0
"OR2D2",0
"ATP9B",1.0933
"PPFIBP2",7.8335
"MOGAT2",0.9412
"CYB5R2",3.1701
"SERPINB7",1.088
"GARRE1",4.1081
"SERPINB8",2.1026
"TUB",1.0899
"RIC3",0.0271
"LMO1",0.4589
"IDH3A",1.654
"WDR72",0.069
"CRABP1",282.2358
"PLD4",0.6852
"ZMAT1",0.6507
"XRRA1",1.6937
"TRIM66",0.6821
"RNF169",1.2572
"RPL27A",213.1912
"DENND2B",2.0373
"CDYL2",1.6078
"TMEM130",2.8624
"PRTG",0.1129
"CENPN",1.4035
"AKIP1",5.4886
"ATMIN",10.2457
"C16orf46",0.0073
"TMEM41B",8.7632
"LEO1",17.9916
"ZNF143",5.4734
"TMX3",5.9237
"MFAP4",33.3287
"WEE1",2.06
"MAPK7",3.3565
"PRKCB",0.0944
"HDGFL3",0.9583
"NDST2",0.0075
"MCM7",28.3737
"CLEC3A",0
"CCDC68",0.3455
"CLEC4E",0.1692
"ZNF3",9.3961
"CLEC4D",0
"ZSCAN21",2.4353
"RIMKLB",2.4433
"A2ML1",0.0778
"BEAN1",0.0801
"TK2",1.3404
"TMED3",13.3289
"SLC38A8",0.131
"SEC11C",14.88
"CPLX4",0.0981
"GALR1",0.0158
"TMEM135",3.2465
"IQCD",0.9896
"NDEL1",3.6127
"CENPV",0.7199
"CDH16",0.0048
"RRAD",2.6283
"CIAO2B",39.6975
"CFAP52",0.3062
"HSP90B1",161.6155
"MC4R",0.0507
"BLCAP",25.858
"SERPINB12",0
"CHRFAM7A",0.0215
"ATF7IP2",0.8625
"MMP10",49.7129
"TVP23A",0.0331
"BEX3",69.8185
"TMPRSS5",0.0718
"COG1",11.5311
"PLEKHA7",0.8838
"ZNF606",2.2888
"ZCCHC18",0.1079
"B2M",1049.0305
"ZNF592",6.3056
"GOLM2",12.4764
"HTR3A",0.9597
"NNMT",90.042
"ACSM1",1.1992
"AP1G1",6.2743
"SLFN5",4.7225
"CATSPER2",0.1354
"BMERB1",15.6087
"MARF1",7.5477
"SAAL1",5.7507
"YPEL4",0.2183
"PPIB",138.2778
"LDHC",0.9988
"CIAO2A",17.5882
"LDHAL6A",0.0403
"FAM111A",8.8903
"PCLAF",1.9872
"KIF7",0.7932
"LDHD",1.3438
"PLIN1",0.7239
"PEX11A",9.7387
"TMEM170A",1.4012
"MESP1",1.2992
"ANPEP",5.9959
"SCNN1G",1.4153
"RBPMS2",1.1653
"NAV2",1.5963
"ANKDD1A",0.5286
"GLYATL1",9.9023
"C18orf54",0.5209
"DCTN5",6.6465
"TERF2IP",13.3341
"PLK1",2.8311
"CLPX",8.8358
"GPR182",0.0102
"ZBTB39",1.4786
"CACNG2",0
"TAC3",0.2103
"MYO1A",0.0547
"CHP2",0.5834
"NEMP1",5.5897
"OR4D6",0
"NAB2",10.7331
"VPS39",9.8328
"STAT6",20.1067
"PATL1",16.2209
"ATP23",3.7316
"ELFN2",0.0079
"STX3",8.2277
"MRPL16",19.9419
"PIP4K2C",21.162
"MTMR10",1.6782
"YWHAB",77.808
"C15orf48",1.6811
"SCG5",3.5552
"GREM1",6.8405
"NYAP1",0.0194
"TSC22D4",15.6247
"MS4A6E",0
"MS4A7",5.1224
"MS4A14",3.3943
"MS4A5",0
"DIS3L",10.5301
"CCNDBP1",4.204
"EPB42",0.0119
"TGM6",0
"SMAD3",6.0551
"MS4A8",0.0813
"CCDC178",0.0078
"MS4A15",2.5374
"MAP1A",2.7293
"RCCD1",2.1591
"AKTIP",3.7588
"MAPRE2",4.8004
"EVA1C",7.5097
"TCP10L2",0.004
"MARS1",11.7298
"MBD6",8.263
"CNPY4",13.238
"PDIA3",394.8196
"NUDT21",8.4009
"NAT16",0.009
"TERB2",0
"NKX3-1",7.2247
"SGSM1",0.602
"DUSP18",0.7859
"TEF",3.6869
"MEI1",0.2446
"B4GALNT2",0.0388
"PBX3",7.7119
"GNGT2",0.7927
"PHB",8.4645
"SNRPD1",9.3736
"TTC16",0.3096
"SUN5",0
"SAMD14",0.2265
"PIP5KL1",0.4861
"BPIFB6",0
"TMEM92",0.1647
"FAM102A",22.6287
"ACSF2",5.8011
"GOLGA2",18.9169
"TRUB2",6.4639
"COQ4",14.7542
"SLC27A4",13.0102
"ANKRD40CL",0
"URM1",12.4639
"CERCAM",21.7445
"DOLPP1",10.7142
"CCDC103",0
"ENDOG",1.4427
"TBC1D21",0
"PRRX2",14.4701
"UGT1A6",0.0371
"C15orf39",7.3032
"ISLR2",0.0625
"SP2",4.5738
"PRR15L",32.483
"COQ7",5.9175
"GPRC5B",2.6811
"CRK",18.2096
"C16orf92",0
"GOLGA6C",0
"FBXO22",3.4994
"TBC1D2B",2.7303
"NOD2",1.9126
"SNX20",0.7621
"LOXHD1",0.0151
